Elements,U_G/Tap Difference,ZRN_4-01ZRN_4-02DUN-A1DAW-T1DUN-A3DUN-T2GBL-T2GDA-A3GDA-A1GDA-A2ZRC-A3ZRC-T1ZRC-T2
ZRN_4-01,1,6.537,6.732,-0.298,0.021,-0.098,-0.064,0.037,0.345,-0.082,-0.092,1.001,0.147,0.233
ZRN_4-02,1,6.537,6.732,-0.298,0.021,-0.098,-0.064,0.037,0.345,-0.082,-0.092,1.001,0.147,0.233
DUN-A1,-1,0.168,0.173,-5.635,0.014,0.457,0.226,0.134,0.538,-0.201,-0.189,-0.052,0.101,0.089
DAW-T1,-1,0.04,0.042,-0.041,0.377,-0.02,-0.01,0.002,0.009,-0.003,-0.003,-0.012,0.005,0.003
DUN-A3,1,-0.101,-0.104,-2.212,-0.023,31.628,-18.462,-0.035,-0.136,0.034,0.034,0.031,-0.132,-0.12
DUN-T2,-1,-0.061,-0.063,-0.96,-0.009,-15.447,21.125,-0.016,-0.064,0.017,0.016,0.019,-0.06,-0.054
GBL-T2,-1,0.116,0.12,-0.348,0.001,-0.025,-0.014,16.014,-3.175,-3.124,-1.227,-0.036,-1.116,-1.046
GDA-A3,-1,0.474,0.488,-1.709,0.004,-0.104,-0.057,-2.823,16.199,5.205,5.101,-0.146,-1.284,-1.213
GDA-A1,1,-0.007,-0.007,0.128,0,0.005,0.003,-0.53,1.012,2.301,-0.824,0.002,-0.199,-0.185
GDA-A2,1,-0.024,-0.025,0.291,-0.001,0.012,0.007,-0.487,2.34,-1.945,5.35,0.008,-0.325,-0.302
ZRC-A3,1,10.135,10.435,0.088,-0.003,0.012,0.009,-0.004,-0.076,0.022,0.025,22.71,-0.03,-0.049
ZRC-T1,-1,0.27,0.278,-0.341,0.004,-0.128,-0.07,-1.393,-1.81,-1.459,-1.012,-0.083,19.501,-11.438
ZRC-T2,-1,0.423,0.436,-0.315,0.002,-0.117,-0.063,-1.326,-1.736,-1.384,-0.958,-0.13,-11.641,20.236